Set,Instance,W,H,n,density,|E_d|,|I_in|,|I_out|,UB0-KP,UB0-LS,UB0,LB0,UB,LB,Gap0,Gap,Opt0,Opt,Nodes',Nodes,#OPP,#EOPP,Time-OPP,Time-EOPP,Time-UB0-KP,Time-UB0-LS,Time-LB0,Time-Red,Time
OKP,okp4_3,100,100,33,0.25,132,0,0,28798,27227,27227,23150,23264,23264,0.1497410658537481,0.0,0,1,12795,12814,0,0,0.0,0.0,0.001,0.0,0.001,0.0,7.852
OKP,okp5_1,100,100,29,0.1,40,0,0,24800,23424,23424,19836,20344,20344,0.15317622950819673,0.0,0,1,524364,524739,0,0,0.0,0.0,0.0,0.001,0.004,0.0,167.128
OKP,okp5_2,100,100,29,0.17,69,0,0,24800,22744,22744,19536,19766,19766,0.14104818853323953,0.0,0,1,9074,9081,0,0,0.0,0.0,0.001,0.0,0.001,0.0,4.506
OKP,okp5_3,100,100,29,0.25,101,0,0,24800,21030,21030,18209,18215,18215,0.13414170233000475,0.0,0,1,20170,20177,0,0,0.0,0.0,0.001,0.0,0.001,0.0,7.618
UW,uw1_1,500,500,25,0.1,30,0,0,4766,4208,4208,3794,3973,3973,0.09838403041825095,0.0,0,1,28,28,0,0,0.0,0.0,0.003,0.001,0.0,0.0,0.247
UW,uw1_2,500,500,25,0.17,51,0,0,4766,3564,3564,3249,3258,3258,0.08838383838383838,0.0,0,1,1222,1222,0,0,0.0,0.0,0.004,0.0,0.001,0.0,0.303
UW,uw1_3,500,500,25,0.25,75,0,0,4766,3383,3383,3169,3360,3360,0.06325746378953591,0.0,0,1,262,262,0,0,0.0,0.0,0.005,0.0,0.001,0.0,0.18
UW,uw2_1,560,750,35,0.1,59,0,0,5647,5277,5277,4760,5019,5019,0.0979723327648285,0.0,0,1,2834,2834,0,0,0.0,0.0,0.005,0.0,0.002,0.0,2.48
UW,uw2_2,560,750,35,0.17,101,0,0,5647,5134,5134,4372,4784,4784,0.14842228282041292,0.0,0,1,3449,3449,0,0,0.0,0.0,0.005,0.0,0.003,0.0,1.972
UW,uw2_3,560,750,35,0.25,148,0,0,5647,4571,4571,3976,4571,4571,0.13016845329249618,0.0,0,1,0,1,0,0,0.0,0.0,0.006,0.001,0.001,0.0,0.178
